questionID,sentence,ChatGPT4_label,label,correct
0,I have so many issues to address.,N,N,
0,"I have a history of sexual abuse, I¡¯m a breast cancer survivor and I am a lifetime insomniac.",B,B,
0,I have a long history of depression and I¡¯m beginning to have anxiety.,P,P,
0,I have low self esteem but I¡¯ve been happily married for almost 35 years.,S,S,0
0,I¡¯ve never had counseling about any of this.,P,P,
0,Do I have too many issues to address in counseling?,N,N,
1,I have been diagnosed with general anxiety and depression by my family doctor.,B,P,
1,"They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager.",S,S,
1,They said I can't keep the ESD because I'm not disabled.,S,S,
1,What do you suggest I do?,N,N,
2,My mother is combative with me when I say I don't want to talk with her about my depression.,S,S,
2,She hasn't been supportive of me in the past and she isn't someone that I feel comfortable opening up to.,S,S,
2,She constantly tries to instigate conversations where she asks me questions that I don't want to or can't answer.,S,S,
2,I tell her I don't want to talk and she starts arguments with me.,S,S,
2,How can I get her to understand?,P,N,
3,There are many people willing to lovingly provide me with a home.,S,S,
3,"I have food, clothes, and a university education, but I never feel like I belong.",P,S,0
3,"Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home.",P,P,
4,My girlfriend just quit drinking and she became really depressed.,B,B,
4,She told me that she wants to move.,P,S,
4,What can I do to help her?,N,N,
4,I want her to stay.,S,S,
5,I'm dealing with an illness that will never go away and I feel like my life will never change for the better.,B,B,
5,I feel alone and that i have no one.,S,P,0
5,How can I overcome this pain and learn to be happy alone?,P,P,
6,"I feel angry, anxious, and depressed.",P,,
6,The PTSD I suffer is from a past relationship.,P,,
7,I had a very troubled up bringing and I'm currently dealing with alot right now.,P,,
7,"I know some people may not think so, but to me its a lot.",P,,
7,I feel overwhelmed.,P,,
7,Could this be depression?,P,,
7,I use to be in therapy as a child.,P,,
7,"Alll throughout elementry, middle, and high school I had counseling 2-3 times a week.",P,,
7,I haven't be in counseling lately though.,P,,
8,"In the past year, two of my best and only close friends moved to different states.",S,,
8,Now I have nobody to hang out with.,S,,
8,"I'm always alone, and I honestly haven't hung out with anyone since they left.",S,,
8,I'm super lonely.,P,,
8,What should I do to make new friends?,S,,
8,"Because they moved and I have no friends now, I think I'm falling into a depression or something.",P,,
8,I just need help.,N,,
9,I feel lazy and numb.,P,,
9,I have no interest in things.,P,,
10,I don't know how else to explain it.,N,,
10,"All I can say is that I feel empty, I feel nothing.",P,,
10,How do I stop feeling this way?,P,,
11,"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more frequent.",B,,
11,This is causing major problems for my ego and it's diminishing my self esteem.,B,,
11,This has resulted in ongoing depression and tearing apart my marriage.,P,,
11,I am devastated and cannot find a cause for these issues.,P,,
11,I am very attracted to my wife and want to express it in the bedroom like I used to.,P,,
11,"What could be causing this, and what can I do about it?",S,,
12,"I tried telling my husband I was depressed, and he ignored me.",P,,
