questionID,sentence,label,ChatGPT4_label,GPT_accuracy,BERT_label,BERT_accuracy
0,I have so many issues to address.,N,N,1,P,0
0,"I have a history of sexual abuse, I¡¯m a breast cancer survivor and I am a lifetime insomniac.",B,B,1,B,1
0,I have a long history of depression and I¡¯m beginning to have anxiety.,P,P,1,P,1
0,I have low self esteem but I¡¯ve been happily married for almost 35 years.,S,S,1,S,1
0,I¡¯ve never had counseling about any of this.,P,P,1,P,1
0,Do I have too many issues to address in counseling?,N,N,1,N,1
1,I have been diagnosed with general anxiety and depression by my family doctor.,P,B,0,B,0
1,"They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager.",P,S,0,P,1
1,They said I can't keep the ESD because I'm not disabled.,S,S,1,S,1
1,What do you suggest I do?,N,N,1,N,1
2,My mother is combative with me when I say I don't want to talk with her about my depression.,S,S,1,S,1
2,She hasn't been supportive of me in the past and she isn't someone that I feel comfortable opening up to.,S,S,1,S,1
2,She constantly tries to instigate conversations where she asks me questions that I don't want to or can't answer.,S,S,1,S,1
2,I tell her I don't want to talk and she starts arguments with me.,S,S,1,S,1
2,How can I get her to understand?,N,P,0,N,1
3,There are many people willing to lovingly provide me with a home.,S,S,1,S,1
3,"I have food, clothes, and a university education, but I never feel like I belong.",B,P,0,B,1
3,"Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home.",P,P,1,P,1
4,My girlfriend just quit drinking and she became really depressed.,B,B,1,B,1
4,She told me that she wants to move.,S,P,0,S,1
4,What can I do to help her?,N,N,1,N,1
4,I want her to stay.,S,S,1,S,1
5,I'm dealing with an illness that will never go away and I feel like my life will never change for the better.,B,B,1,B,1
5,I feel alone and that i have no one.,P,S,0,P,1
5,How can I overcome this pain and learn to be happy alone?,P,P,1,P,1
6,"I feel angry, anxious, and depressed.",P,P,1,P,1
6,The PTSD I suffer is from a past relationship.,P,P,1,P,1
7,I had a very troubled up bringing and I'm currently dealing with alot right now.,P,P,1,S,0
7,"I know some people may not think so, but to me its a lot.",P,P,1,P,1
7,I feel overwhelmed.,P,P,1,P,1
7,Could this be depression?,N,P,0,N,1
7,I use to be in therapy as a child.,P,P,1,P,1
7,"Alll throughout elementry, middle, and high school I had counseling 2-3 times a week.",P,P,1,P,1
7,I haven't be in counseling lately though.,P,P,1,P,1
8,"In the past year, two of my best and only close friends moved to different states.",S,S,1,S,1
8,Now I have nobody to hang out with.,S,S,1,S,1
8,"I'm always alone, and I honestly haven't hung out with anyone since they left.",S,S,1,S,1
8,I'm super lonely.,P,P,1,P,1
8,What should I do to make new friends?,N,S,0,N,1
8,"Because they moved and I have no friends now, I think I'm falling into a depression or something.",P,P,1,S,0
8,I just need help.,S,N,0,S,1
9,I feel lazy and numb.,P,P,1,P,1
9,I have no interest in things.,P,P,1,P,1
10,I don't know how else to explain it.,N,N,1,N,1
10,"All I can say is that I feel empty, I feel nothing.",P,P,1,P,1
10,How do I stop feeling this way?,N,P,0,N,1
11,"A few years ago I was making love to my wife when for no known reason I lost my erection,    Now I'm In my early 30s and my problem has become more and more frequent.",B,B,1,B,1
11,This is causing major problems for my ego and it's diminishing my self esteem.,P,B,0,P,1
11,This has resulted in ongoing depression and tearing apart my marriage.,S,P,0,S,1
11,I am devastated and cannot find a cause for these issues.,P,P,1,P,1
11,I am very attracted to my wife and want to express it in the bedroom like I used to.,S,P,0,S,1
11,"What could be causing this, and what can I do about it?",N,S,0,N,1
12,"I tried telling my husband I was depressed, and he ignored me.",S,P,0,S,1
12,He said "you're always sad or depressed.",S,P,0,S,1
12,And he picked up his phone and ignored me.,S,S,1,S,1
12,"I said, ""Please don't exaggerate, that isn't true.""",S,P,0,S,1
12,"And he said, ""Whatever babe.",S,S,1,S,1
12,You just want to be sad.",S,P,0,S,1
12,How can I get through to him so he will take me seriously?,N,P,0,N,1
13,Every winter I find myself getting sad because of the weather.,P,B,0,P,1
13,How can I fight this?,N,N,1,N,1
14,I'm going through some things with my feelings and myself.,P,P,1,P,1
14,I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.,P,B,0,P,1
14,I've never tried or contemplated suicide.,P,P,1,S,0
14,"I've always wanted to fix my issues, but I never get around to it.",P,P,1,P,1
14,How can I change my feeling of being worthless to everyone?,N,P,0,N,1
15,I can't even smile or fake one.,P,P,1,P,1
15,I can't feel happiness about anything and I can't show love towards another person not even my girlfriend.,S,P,0,S,1
15,I hate myself sometimes.,P,P,1,P,1
15,All I see is ugly.,P,P,1,P,1
15,I can't get over the loss of a loved one and I'm not close to my family.,S,S,1,S,1
15,What can I do?,N,N,1,N,1
16,I feel like I'm so alone.,P,S,0,P,1
16,I treat people horribly based on what's going on in my life and don't realize it.,S,P,0,S,1
16,"It ends up pushing them away, especially the ones I love the most.",S,S,1,S,1
16,"I have a weird feeling deep down inside, and it won't go away.",P,P,1,P,1
16,I feel like I'm collapsing.,P,P,1,P,1
17,I struggle with depression as well as pretty intense mood swings throughout the month.,P,P,1,P,1
17,"I experience highs where I feel amazing and energetic and then lows where I lack focus, energy, and generally have a more dark outlook on my life.",P,P,1,P,1
17,How can I live a more balanced life?,N,N,1,N,1
18,I¡¯m facing severe depression and anxiety and I just feel like I¡¯m going through a lot.,P,P,1,P,1
18,This really distracts me and I cant get my mind off the things that are bothering me.,P,P,1,P,1
18,How do I overcome this anxierty and depression?,N,P,0,N,1
19,I am the problem.,P,P,1,P,1
19,I make my family argue because of me.,S,S,1,S,1
19,My mom has even said it.,S,S,1,S,1
19,It's constantly like this.,S,N,0,S,1
19,I cause problems.,P,S,0,P,1
19,I am worthless.,P,P,1,P,1
19,I can't stop crying.,B,B,1,P,0
19,Sometimes I have to cry myself to sleep.,B,B,1,B,1
19,I can't even leave my room because my family can't stand me.,S,S,1,S,1
20,I'm in my late teens and live with my dad.,B,S,0,B,1
20,The only time I go out is for my college classes.,S,S,1,S,1
20,"Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks.",S,P,0,S,1
20,Sometimes I feel i'm not worth knowing or i'm never going to do anything right.,P,P,1,P,1
20,"Are they right, am I depressed?",N,P,0,N,1
21,I'm very depressed.,P,P,1,P,1
21,How do I find someone to talk to?,N,S,0,N,1
22,I've never been able to talk with my parents.,S,S,1,S,1
22,My parents are in their sixties while I am a teenager.,B,S,0,S,0
22,I love both of them but not their personalities.,S,P,0,S,1
22,I feel that they do not take me seriously whenever I talk about a serious event in my life.,S,S,1,S,1
