narrativeID,sentence,label,BERT_label
"Mon, 26 Feb 2024 13:30:14 GMT","I reached out for support because my dog passed away, and I've been feeling really sad.",,P
"Mon, 26 Feb 2024 13:30:14 GMT","The loss has hit me hard, and I've been struggling with my emotions.",,P
"Mon, 26 Feb 2024 13:30:14 GMT","In response, I was introduced to the K10 psychological assessment to help understand how I've been coping over the past month.",,S
"Mon, 26 Feb 2024 13:30:14 GMT",I was informed that my answers would be crucial in assessing my emotional state.,,P
"Mon, 26 Feb 2024 13:30:14 GMT",The assessment started with a question about how often I've felt tired for no good reason in the past four weeks.,,P
"Mon, 26 Feb 2024 13:30:14 GMT",I admitted to feeling that way a little of the time.,,P
"Mon, 26 Feb 2024 13:30:14 GMT","When asked to try again, I was presented with the next question, which was about how often I've felt nervous during the same period.",,P
"1709622821988_Tue, 05 Mar 2024 07:13:41 GMT","I greeted someone today, expressing my concern that I haven't been feeling like myself and worrying that something might be wrong.",,S
"1709622821988_Tue, 05 Mar 2024 07:13:41 GMT",I've been having mood swings and find myself easily angered by my friends and mom.,,S
"1709622821988_Tue, 05 Mar 2024 07:13:41 GMT","When asked about specific triggers, I couldn't think of any.",,S
"1709622821988_Tue, 05 Mar 2024 07:13:41 GMT","I admitted to feeling lost, very tired, and having no motivation to do my homework.",,P
"1709622821988_Tue, 05 Mar 2024 07:13:41 GMT","I've only started feeling this way recently, and when asked if anything significant had happened to contribute to these feelings, my answer was simply ""nope.""",,S
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT","I greeted the person on the other end, and they asked how I was feeling.",,S
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT",I confessed that I've been feeling devastated.,,P
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT",They expressed sympathy and asked me to share what was going on.,,S
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT","I told them about the sudden departure of my wife, who took the kids with her, and I suspected that it might have been because of money issues.",,S
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT",They acknowledged how tough and painful the situation must be for me and offered to talk more about it.,,S
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT","I agreed, still reeling from the suddenness of it all.",,S
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT",They wanted to support me better and proposed conducting a brief emotional screening to understand how I've been feeling lately.,,S
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT",They explained they would ask me a series of questions about my feelings over the past four weeks and asked me to answer as honestly as possible.,,S
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT","When asked how often I had felt tired out for no good reason in the past four weeks, I replied that it happened quite a lot.",,P
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT",They noted that it seemed like I felt this way 'most of the time'.,,P
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT",Then they inquired about how often I had felt nervous during the same period.,,S
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT","I asked for clarification on what they meant by 'nervous', but unfortunately, something went wrong, and they couldn't continue the conversation.",,S
"1710923330662_Wed, 20 Mar 2024 08:28:50 GMT",They asked me to send another message to try and continue our discussion.,,S
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT","I greeted the person on the other end, but I wasn't feeling good at all.",,S
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT","My wife had left me, taking our children with her.",,S
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT",It's been so hard that I've struggled to even get out of bed.,,S
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT",I haven't had anyone to talk to about it; I've been dealing with it all by myself.,,S
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT",The person I was speaking to expressed sympathy and wanted to help by understanding more about my feelings.,,S
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT",They asked me a series of questions about the past four weeks.,,S
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT",I admitted to feeling tired very often and also really nervous.,,P
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT","I've frequently felt so nervous that nothing could calm me down, and I've felt hopeless quite a lot of the time.",,P
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT","When asked about restlessness, I said I felt somewhat fidgety and a bit like I couldn't sit still.",,P
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT",Depression has been a big part of my life recently; I've felt depressed a lot.,,P
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT","Everything has seemed like an effort, and I've been so sad that nothing could cheer me up, feeling this way all the time.",,P
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT",I also confessed to feeling worthless a lot.,,P
"1710738057295_Mon, 18 Mar 2024 05:00:57 GMT",The person on the other end assured me of their support and their intention to help me through this tough time.,,S
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT","Today, I reached out for help because I'm not feeling good at all.",,S
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT","My wife has left me, taking my children with her, and it's been incredibly tough to deal with.",,S
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT","I've found it hard even to get out of bed, and I've been feeling like there's no purpose in life anymore.",,P
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT","To better understand my feelings, I was asked a series of questions about the past four weeks.",,S
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT",I admitted to feeling tired most of the time and feeling nervous quite often.,,P
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT",There have been many times when I've been so nervous that nothing could calm me down.,,S
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT","However, I haven't felt hopeless too much, which is a small relief.",,P
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT","I've also felt quite restless and fidgety, but not to the point where I couldn't sit still.",,P
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT",Depression has hit me hard; I've felt depressed a lot and often felt that everything was an effort.,,P
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT",I've been so sad that nothing could cheer me up very often.,,P
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT","I feel somewhat worthless, which is a difficult thing to admit.",,P
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT","I was curious about my score from these questions, hoping to understand how to get support, but unfortunately, there was an issue, and I couldn't get my score at that moment.",,P
"1710738138914_Mon, 18 Mar 2024 05:02:18 GMT",I was asked to send another message to continue the conversation and find out how I could be supported through this challenging time.,,S
"Mon, 26 Feb 2024 13:48:18 GMT",I reached out because I'm stressed.,,P
"Mon, 26 Feb 2024 13:48:18 GMT","My family is constantly fighting, and I feel like I have no one to turn to for help.",,S
"Mon, 26 Feb 2024 13:48:18 GMT","In response, I was met with sympathy and an offer to better understand my feelings through a series of questions, with the assurance that my honest answers would help paint a clearer picture of my situation.",,S
"Mon, 26 Feb 2024 13:48:18 GMT","I was asked about how often I've felt tired, nervous, or so nervous that nothing could calm me down in the past four weeks.",,P
"Mon, 26 Feb 2024 13:48:18 GMT","I admitted to feeling tired and nervous a little and some of the time, respectively, and quite a lot when it came to being so nervous that nothing could calm me down.",,P
"Mon, 26 Feb 2024 13:48:18 GMT","However, I haven't felt hopeless, restless, or fidgety at all, which was a relief.",,P
"Mon, 26 Feb 2024 13:48:18 GMT",I did feel a little restless to the point of not being able to sit still and moderately depressed.,,P
"Mon, 26 Feb 2024 13:48:18 GMT","Everything felt like an effort a little of the time, but thankfully, I haven't felt so sad that nothing could cheer me up or worthless.",,P
"Mon, 26 Feb 2024 13:48:18 GMT","After answering all the questions, I was told that my total score suggested I was 'psychologically well,' indicating that despite the stress, I was managing relatively well psychologically.",,P
